X;Y;Z;W;iter;
-0.3375;-1.14286;-0.888888;-0.63492;1;
-0.3375;-1.14286;-0.888888;-0.507936;1;
-0.3375;-1.14286;-0.761904;-1.01587;1;
-0.3375;-1.14286;-0.761904;-0.888888;1;
-0.3375;-1.14286;-0.761904;-0.63492;2;
-0.3375;-1.14286;-0.761904;-0.507936;1;
-0.3375;-1.14286;-0.761904;-0.380952;1;
-0.3375;-1.14286;-0.63492;-0.888888;1;
-0.3375;-1.14286;-0.63492;-0.507936;3;
-0.3375;-1.14286;-0.63492;-0.380952;1;
-0.3375;-1.14286;-0.63492;-0.253968;1;
-0.3375;-1.14286;-0.63492;-0.126984;1;
-0.3375;-1.14286;-0.507936;-0.888888;1;
-0.3375;-1.14286;-0.507936;-0.253968;1;
-0.3375;-1.14286;-0.507936;-0.126984;1;
-0.3375;-1.14286;-0.507936;0;1;
-0.3375;-1.14286;-0.380952;-0.888888;1;
-0.3375;-1.14286;-0.380952;-0.126984;1;
-0.3375;-1.14286;-0.380952;0;1;
-0.3375;-1.14286;-0.253968;-0.888888;1;
-0.3375;-1.14286;-0.253968;0;1;
-0.3375;-1.14286;-0.126984;-0.888888;1;
-0.3375;-1.14286;0;-0.888888;1;
-0.3375;-1.14286;0;-0.761904;1;
-0.3375;-1.01587;-1.14286;-1.01587;1;
-0.3375;-1.01587;-1.14286;-0.888888;1;
-0.3375;-1.01587;-1.01587;-1.01587;1;
-0.3375;-1.01587;-1.01587;-0.888888;1;
-0.3375;-1.01587;-1.01587;-0.761904;2;
-0.3375;-1.01587;-1.01587;-0.63492;1;
-0.3375;-1.01587;-0.888888;-1.01587;1;
-0.3375;-1.01587;-0.888888;-0.761904;2;
-0.3375;-1.01587;-0.888888;-0.63492;2;
-0.3375;-1.01587;-0.888888;-0.507936;1;
-0.3375;-1.01587;-0.888888;-0.380952;1;
-0.3375;-1.01587;-0.761904;-1.01587;1;
-0.3375;-1.01587;-0.761904;-0.888888;1;
-0.3375;-1.01587;-0.761904;-0.507936;2;
-0.3375;-1.01587;-0.761904;-0.380952;1;
-0.3375;-1.01587;-0.761904;-0.253968;1;
-0.3375;-1.01587;-0.63492;-0.888888;1;
-0.3375;-1.01587;-0.63492;-0.380952;2;
-0.3375;-1.01587;-0.63492;-0.253968;1;
-0.3375;-1.01587;-0.63492;-0.126984;1;
-0.3375;-1.01587;-0.63492;0;1;
-0.3375;-1.01587;-0.507936;-0.888888;1;
-0.3375;-1.01587;-0.507936;-0.126984;1;
-0.3375;-1.01587;-0.507936;0;1;
-0.3375;-1.01587;-0.380952;-0.888888;1;
-0.3375;-1.01587;-0.380952;0;1;
-0.3375;-1.01587;-0.253968;-0.888888;1;
-0.3375;-1.01587;-0.126984;-0.888888;1;
-0.3375;-1.01587;0;-0.888888;1;
-0.3375;-1.01587;0;-0.761904;1;
-0.3375;-0.888888;-1.26984;-1.01587;1;
-0.3375;-0.888888;-1.14286;-1.01587;1;
-0.3375;-0.888888;-1.14286;-0.888888;1;
-0.3375;-0.888888;-1.14286;-0.761904;1;
-0.3375;-0.888888;-1.01587;-1.01587;1;
-0.3375;-0.888888;-1.01587;-0.888888;1;
-0.3375;-0.888888;-1.01587;-0.761904;2;
-0.3375;-0.888888;-1.01587;-0.63492;1;
-0.3375;-0.888888;-1.01587;-0.507936;1;
-0.3375;-0.888888;-0.888888;-1.01587;1;
-0.3375;-0.888888;-0.888888;-0.63492;2;
-0.3375;-0.888888;-0.888888;-0.507936;1;
-0.3375;-0.888888;-0.888888;-0.380952;1;
-0.3375;-0.888888;-0.761904;-1.01587;1;
-0.3375;-0.888888;-0.761904;-0.888888;1;
-0.3375;-0.888888;-0.761904;-0.380952;1;
-0.3375;-0.888888;-0.761904;-0.253968;1;
-0.3375;-0.888888;-0.761904;-0.126984;1;
-0.3375;-0.888888;-0.63492;-0.888888;1;
-0.3375;-0.888888;-0.63492;-0.253968;1;
-0.3375;-0.888888;-0.63492;-0.126984;1;
-0.3375;-0.888888;-0.63492;0;1;
-0.3375;-0.888888;-0.507936;-0.888888;1;
-0.3375;-0.888888;-0.507936;0;1;
-0.3375;-0.888888;-0.380952;-0.888888;1;
-0.3375;-0.888888;-0.253968;-0.888888;1;
-0.3375;-0.888888;-0.126984;-0.888888;1;
-0.3375;-0.888888;0;-0.888888;1;
-0.3375;-0.888888;0;-0.761904;1;
-0.3375;-0.761904;-1.26984;-1.14286;1;
-0.3375;-0.761904;-1.26984;-1.01587;1;
-0.3375;-0.761904;-1.26984;-0.888888;1;
-0.3375;-0.761904;-1.14286;-1.14286;1;
-0.3375;-0.761904;-1.14286;-1.01587;1;
-0.3375;-0.761904;-1.14286;-0.888888;1;
-0.3375;-0.761904;-1.14286;-0.761904;2;
-0.3375;-0.761904;-1.14286;-0.63492;1;
-0.3375;-0.761904;-1.01587;-1.01587;1;
-0.3375;-0.761904;-1.01587;-0.761904;2;
-0.3375;-0.761904;-1.01587;-0.63492;2;
-0.3375;-0.761904;-1.01587;-0.507936;1;
-0.3375;-0.761904;-0.888888;-1.01587;1;
-0.3375;-0.761904;-0.888888;-0.507936;2;
-0.3375;-0.761904;-0.888888;-0.380952;1;
-0.3375;-0.761904;-0.888888;-0.253968;1;
-0.3375;-0.761904;-0.761904;-1.01587;1;
-0.3375;-0.761904;-0.761904;-0.888888;1;
-0.3375;-0.761904;-0.761904;-0.380952;2;
-0.3375;-0.761904;-0.761904;-0.253968;1;
-0.3375;-0.761904;-0.761904;-0.126984;1;
-0.3375;-0.761904;-0.761904;0;1;
-0.3375;-0.761904;-0.63492;-1.01587;1;
-0.3375;-0.761904;-0.63492;-0.888888;1;
-0.3375;-0.761904;-0.63492;-0.126984;1;
-0.3375;-0.761904;-0.63492;0;1;
-0.3375;-0.761904;-0.507936;-0.888888;1;
-0.3375;-0.761904;-0.380952;-0.888888;1;
-0.3375;-0.761904;-0.253968;-0.888888;1;
-0.3375;-0.761904;-0.126984;-0.888888;1;
-0.3375;-0.761904;0;-0.888888;1;
